入职日期,工号,姓名,部门,职位级别,所在城市,学历,基本薪资(元),年终奖(元),绩效等级,工龄(年),出勤率(%),加班时长(h)
2017-09-17,EMP10001,员工001,市场部,副总裁,南京,大专,121035,216344.05,A,7,89.0,31
2021-11-25,EMP10002,员工002,市场部,初级,武汉,本科,6414,7860.55,A,3,99.4,20
2016-10-14,EMP10003,员工003,法务部,高级,南京,博士,27732,63861.83,A,8,92.5,39
2017-09-13,EMP10004,员工004,人事部,初级,广州,硕士,6737,19288.58,B,7,85.7,36
2021-01-07,EMP10005,员工005,人事部,经理,北京,大专,54904,117255.73,B,3,91.5,33
2015-07-29,EMP10006,员工006,运营部,高级,广州,硕士,29257,44123.51,S,9,93.3,9
2021-12-27,EMP10007,员工007,人事部,经理,上海,本科,51689,124622.71,A,3,99.6,50
2016-08-13,EMP10008,员工008,销售部,副总裁,广州,博士,120777,228821.64,A,8,92.5,5
2020-02-15,EMP10009,员工009,研发部,中级,深圳,本科,18845,25112.88,B,4,89.9,78
2018-05-10,EMP10010,员工010,销售部,中级,成都,博士,16219,48276.49,B,6,95.6,38
2019-09-03,EMP10011,员工011,人事部,副总裁,杭州,大专,118136,167858.8,B,5,94.0,33
2015-07-30,EMP10012,员工012,运营部,副总裁,南京,本科,124358,242023.78,A,9,92.9,79
2015-05-10,EMP10013,员工013,法务部,副总裁,上海,本科,121114,105301.27,B,9,85.3,40
2023-09-10,EMP10014,员工014,人事部,中级,南京,大专,16382,36470.44,B,1,95.6,66
2019-03-24,EMP10015,员工015,市场部,经理,成都,本科,50662,151748.25,B,5,91.9,68
2022-08-20,EMP10016,员工016,销售部,经理,杭州,博士,50902,111458.66,C,2,87.9,31
2018-05-04,EMP10017,员工017,销售部,经理,杭州,本科,50445,53581.04,D,6,95.4,62
2023-02-03,EMP10018,员工018,销售部,主管,杭州,硕士,35857,68172.01,C,1,86.8,69
2016-08-22,EMP10019,员工019,人事部,主管,杭州,大专,39704,54110.07,B,8,89.3,10
2017-04-07,EMP10020,员工020,销售部,主管,杭州,硕士,38373,43787.81,B,7,87.1,78
2020-12-15,EMP10021,员工021,运营部,经理,广州,本科,49960,55263.01,B,4,85.8,52
2015-01-22,EMP10022,员工022,销售部,总监,深圳,博士,81869,61513.28,B,9,94.8,60
2018-03-15,EMP10023,员工023,人事部,总监,北京,大专,79633,190305.16,A,6,94.8,29
2016-12-18,EMP10024,员工024,财务部,总监,武汉,本科,83923,220367.76,S,8,99.0,4
2018-03-31,EMP10025,员工025,法务部,主管,北京,大专,39454,68589.19,C,6,89.5,77
2020-11-17,EMP10026,员工026,研发部,高级,南京,本科,25331,41438.29,B,4,97.8,59
2020-02-23,EMP10027,员工027,销售部,中级,杭州,本科,19625,15339.23,A,4,85.2,43
2021-11-07,EMP10028,员工028,法务部,高级,武汉,博士,27651,60445.16,A,3,92.7,11
